epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,1869.11,1.21964,0.63764,0.79201,0.8764,0.71935,0.79764,0.35063,2.08496,1.21005,0.82917,0.0002576,0.0002576,0.0002576
134,1883.83,1.22762,0.62576,0.79002,0.85482,0.74076,0.79611,0.36174,2.02425,1.17686,0.82749,0.0002444,0.0002444,0.0002444
135,1898.35,1.26478,0.63661,0.79553,0.86922,0.74839,0.80859,0.36903,2.04746,1.20596,0.82837,0.0002312,0.0002312,0.0002312
136,1912.86,1.28573,0.66916,0.79888,0.88139,0.72419,0.78973,0.34837,2.11375,1.21034,0.83149,0.000218,0.000218,0.000218
137,1927.43,1.25081,0.62216,0.80761,0.86134,0.71774,0.79715,0.37783,1.95893,1.21843,0.82338,0.0002048,0.0002048,0.0002048
138,1941.97,1.2048,0.61857,0.79598,0.87501,0.72267,0.80308,0.37077,1.98257,1.201,0.82427,0.0001916,0.0001916,0.0001916
139,1956.57,1.19106,0.57526,0.79273,0.87013,0.72401,0.79913,0.36254,2.072,1.21378,0.82836,0.0001784,0.0001784,0.0001784
140,1971.13,1.21919,0.63715,0.7965,0.85261,0.73708,0.79673,0.36866,1.95229,1.17919,0.82288,0.0001652,0.0001652,0.0001652
141,2000.62,1.19838,0.60903,0.80612,0.84411,0.71613,0.77819,0.34281,2.09678,1.25173,0.8316,0.000152,0.000152,0.000152
142,2015.3,1.17062,0.62563,0.80417,0.86015,0.70968,0.77357,0.31098,2.25626,1.25655,0.84174,0.0001388,0.0001388,0.0001388
143,2029.95,1.14235,0.57173,0.78984,0.85096,0.70323,0.76191,0.27283,2.44981,1.27566,0.85353,0.0001256,0.0001256,0.0001256
144,2044.58,1.1527,0.56901,0.80049,0.85793,0.70127,0.75993,0.2682,2.47319,1.28721,0.85516,0.0001124,0.0001124,0.0001124
145,2059.21,1.10348,0.58848,0.80213,0.86307,0.69677,0.76214,0.28597,2.39079,1.2703,0.84953,9.92e-05,9.92e-05,9.92e-05
146,2073.74,1.09815,0.56727,0.80546,0.86371,0.70645,0.77213,0.30617,2.30666,1.25883,0.84331,8.6e-05,8.6e-05,8.6e-05
147,2088.36,1.09078,0.55717,0.79773,0.86322,0.70806,0.77772,0.31401,2.28521,1.25155,0.8418,7.28e-05,7.28e-05,7.28e-05
148,2103.04,1.08243,0.54849,0.80116,0.8718,0.71295,0.77569,0.30844,2.30244,1.24043,0.84469,5.96e-05,5.96e-05,5.96e-05
149,2117.63,1.08084,0.54196,0.79083,0.87451,0.70806,0.77587,0.31118,2.30248,1.24826,0.84383,4.64e-05,4.64e-05,4.64e-05
150,2132.15,1.06986,0.55051,0.79905,0.88138,0.70968,0.77516,0.31331,2.27598,1.24045,0.84203,3.32e-05,3.32e-05,3.32e-05
